date,keyword,country_code,interest_score,z_score
2019-06-01,fintech,MX,62,-0.719267644818707
2019-06-01,pagos digitales,MX,19,-1.58071753784269
2019-06-01,tarjeta virtual,MX,38,-1.81887040270442
2019-06-01,Plin,PE,4,-1.70033293479294
2019-06-01,Yape,PE,4,-1.43733064778564
2019-06-01,criptomonedas,PE,21,-0.784650663087103
2019-06-01,fintech,PE,77,0.614630542557565
2019-06-01,tarjeta virtual,PE,10,-1.63875271944379
2019-07-01,Plin,CL,25,-1.05051679644371
2019-07-01,criptomonedas,CL,18,-0.703376479884259
2019-07-01,fintech,CL,40,-0.523292904057656
2019-07-01,tarjeta virtual,CL,35,-0.552289238604007
2019-07-01,Plin,CO,33,-0.811580180167348
2019-07-01,criptomonedas,CO,15,-0.778533754972617
2019-07-01,fintech,CO,39,-1.3659102298898
2019-07-01,Plin,MX,14,-1.26288619567862
2019-07-01,criptomonedas,MX,20,-0.817614513933362
2019-07-01,fintech,MX,61,-0.798224844926625
2019-07-01,pagos digitales,MX,15,-1.7989537180082
2019-07-01,tarjeta virtual,MX,44,-1.47914109081336
2019-07-01,Plin,PE,4,-1.70033293479294
2019-07-01,Yape,PE,5,-1.4031307986043
2019-07-01,criptomonedas,PE,18,-0.931145543919222
2019-07-01,fintech,PE,71,0.151277396877335
2019-07-01,tarjeta virtual,PE,11,-1.59866258924292
2019-08-01,Plin,CL,23,-1.14415260369693
2019-08-01,criptomonedas,CL,12,-0.981426026986521
2019-08-01,fintech,CL,43,-0.373094809708211
2019-08-01,tarjeta virtual,CL,26,-1.11572717301834
2019-08-01,Plin,CO,33,-0.811580180167348
2019-08-01,Yape,CO,13,-0.834240671707991
2019-08-01,criptomonedas,CO,13,-0.88291018125912
2019-08-01,fintech,CO,49,-0.543886760953645
2019-08-01,Plin,MX,14,-1.26288619567862
2019-08-01,Yape,MX,21,-0.693004317055679
2019-08-01,criptomonedas,MX,16,-1.01427302964056
2019-08-01,fintech,MX,76,0.386133156692148
2019-08-01,pagos digitales,MX,20,-1.52615849280131
2019-08-01,tarjeta virtual,MX,47,-1.30927643486783
2019-08-01,Plin,PE,6,-1.59838278757332
2019-08-01,Yape,PE,5,-1.4031307986043
2019-08-01,criptomonedas,PE,26,-0.540492528366905
2019-08-01,fintech,PE,76,0.537405018277527
2019-08-01,tarjeta virtual,PE,16,-1.39821193823856
2019-09-01,Plin,CL,38,-0.44188404929775
2019-09-01,criptomonedas,CL,11,-1.02776761817023
2019-09-01,fintech,CL,32,-0.923821155656177
2019-09-01,tarjeta virtual,CL,36,-0.489685023669081
2019-09-01,Plin,CO,42,-0.421808119955398
2019-09-01,criptomonedas,CO,15,-0.778533754972617
2019-09-01,fintech,CO,58,0.195934361088891
2019-09-01,Plin,MX,20,-0.98575986616598
2019-09-01,Yape,MX,19,-0.779067874502816
2019-09-01,billetera digital,MX,100,2.80318795652791
2019-09-01,criptomonedas,MX,16,-1.01427302964056
2019-09-01,fintech,MX,100,2.28110595928219
2019-09-01,pagos digitales,MX,19,-1.58071753784269
2019-09-01,tarjeta virtual,MX,45,-1.42251953883151
2019-09-01,Plin,PE,6,-1.59838278757332
2019-09-01,Yape,PE,7,-1.33473110024162
2019-09-01,criptomonedas,PE,26,-0.540492528366905
2019-09-01,fintech,PE,93,1.85023893103818
2019-09-01,tarjeta virtual,PE,13,-1.51848232884117
2019-10-01,Plin,CL,31,-0.769609374684035
